Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total Rainfall,SPI
1997,5.17,0.18923076923076923,0.0,0.0015384615384615385,0.00923076923076923,0.01846153846153846,0.045384615384615384,0.0,0.5253846153846153,0.02307692307692308,2.382307692307692,4.357692307692307,12.722307692307691,-0.1839197752568841
1996,2.1461538461538465,5.233076923076923,1.9146153846153846,0.49076923076923074,0.03230769230769231,0.0,0.009230769230769232,0.014615384615384615,0.0015384615384615385,1.2038461538461538,1.6192307692307693,4.994166666666667,17.659551282051282,0.5086862038919537
1995,13.826923076923077,1.3369230769230769,7.021538461538461,0.8238461538461539,0.3107692307692308,0.7407692307692307,0.03538461538461539,0.0,0.0038461538461538464,0.0015384615384615385,0.2153846153846154,1.5530769230769232,25.87,1.6604636623425135
1994,0.4683333333333333,3.9675,1.7108333333333334,0.7133333333333334,0.2966666666666667,0.01,0.0,0.0,0.010833333333333334,0.5158333333333333,0.655,1.0783333333333334,9.426666666666666,-0.6462386051863842
1993,11.87090909090909,8.16090909090909,3.166363636363636,0.0,0.026363636363636363,0.9690909090909091,0.0,0.0,0.0009090909090909091,0.181,0.7618181818181818,0.9981818181818182,26.135545454545454,1.6977148868792247
1992,2.1999999999999997,9.411818181818182,6.781818181818181,0.21727272727272728,0.06727272727272728,0.007272727272727273,0.25636363636363635,0.0,0.0,0.9279999999999999,0.08181818181818182,5.589,25.540636363636366,1.6142599011317964
1991,1.4363636363636363,4.076,6.725454545454546,0.023636363636363636,0.00818181818181818,0.006363636363636364,0.1309090909090909,0.020999999999999998,0.060000000000000005,0.39999999999999997,0.02181818181818182,3.4990909090909095,16.40881818181818,0.3332309710692609
1990,1.7018181818181817,2.8663636363636367,0.18454545454545457,0.6081818181818182,0.8645454545454545,0.0,0.0,0.09727272727272727,0.018181818181818184,0.0,0.35545454545454547,0.05272727272727273,6.74909090909091,-1.0218540565231207
1989,0.9581818181818182,1.8081818181818183,0.7318181818181819,0.16272727272727272,0.09272727272727273,0.012727272727272728,0.0,0.0,0.43818181818181823,0.44181818181818183,0.3018181818181818,0.0,4.948181818181818,-1.2744890301870213
1988,2.212727272727273,2.0272727272727273,0.3318181818181818,2.4572727272727275,0.038181818181818185,0.006363636363636364,0.0018181818181818182,0.06909090909090909,0.04818181818181819,0.0018181818181818182,1.1036363636363637,4.05,12.348181818181818,-0.2364028688421699
1987,1.502727272727273,1.0936363636363635,1.1127272727272728,0.12000000000000001,0.033999999999999996,0.12727272727272726,0.08181818181818182,0.030000000000000002,0.07727272727272728,3.166363636363636,1.5718181818181818,2.923636363636364,11.841272727272727,-0.30751304618441666
1986,2.7227272727272727,4.979090909090909,4.424545454545455,0.5218181818181818,0.0,0.0,0.11181818181818182,0.0,1.3472727272727274,0.5236363636363637,1.1072727272727272,0.37999999999999995,16.118181818181817,0.2924599457889233
1985,0.6827272727272727,1.499090909090909,0.9427272727272726,0.03272727272727272,0.1481818181818182,0.0,0.010909090909090908,0.0,0.18999999999999997,0.35454545454545455,3.838181818181818,0.4254545454545454,8.124545454545453,-0.8289026606859268
1984,0.17,0.01,0.23454545454545456,0.5781818181818182,0.0,0.034545454545454546,0.06818181818181818,0.21363636363636365,0.2581818181818182,0.18363636363636363,1.7845454545454544,5.382727272727273,8.918181818181818,-0.717569832816878
