ZIP Code,YoY Growth 2024,Total Exposure 2024,YoY Growth 2023,Total Exposure 2023,YoY Growth 2022,Total Exposure 2022,YoY Growth 2021,Total Exposure 2021,Total Exposure 2020
94619,103.6%,"$ 3 12,600,302",43.5%,"$ 1 53,547,579",27.5%,"$ 1 06,978,089",24.7%,"$ 8 3,879,119","$ 6 7,281,226"
94621,120.7%,"$ 8 4,214,704",14.4%,"$ 3 8,152,427",2.8%,"$ 3 3,337,385",3.4%,"$ 3 2,416,692","$ 3 1,364,734"
94702,263.3%,"$ 4 8,622,813",40.2%,"$ 1 3,382,612",-13.2%,"$ 9 ,543,514",41.1%,"$ 1 0,997,488","$ 7 ,794,352"
94703,220.0%,"$ 7 9,516,430",67.4%,"$ 2 4,847,274",12.3%,"$ 1 4,844,727",-3.0%,"$ 1 3,223,686","$ 1 3,629,825"
94704,101.7%,"$ 9 6,315,854",48.8%,"$ 4 7,742,254",30.2%,"$ 3 2,080,263",67.4%,"$ 2 4,644,527","$ 1 4,722,761"
94705,196.8%,"$ 5 50,493,173",9.1%,"$ 1 85,481,047",59.2%,"$ 1 69,939,064",78.1%,"$ 1 06,732,330","$ 5 9,914,489"
94706,333.8%,"$ 4 3,136,876",127.3%,"$ 9 ,945,036",-30.4%,"$ 4 ,376,099",166.8%,"$ 6 ,285,093","$ 2 ,355,472"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
94707,936.1%,"$ 4 18,295,483",66.9%,"$ 4 0,371,069",34.2%,"$ 2 4,190,412",81.0%,"$ 1 8,025,814","$ 9 ,956,381"
94708,153.4%,"$ 6 89,288,497",36.6%,"$ 2 72,025,543",54.6%,"$ 1 99,111,624",83.6%,"$ 1 28,819,199","$ 7 0,154,333"
94709,234.9%,"$ 4 8,248,967",20.1%,"$ 1 4,406,310",10.7%,"$ 1 1,996,208",-1.0%,"$ 1 0,834,718","$ 1 0,940,480"
94710,27.3%,"$ 2 0,287,897",26.1%,"$ 1 5,935,432",3.3%,"$ 1 2,635,622",2.0%,"$ 1 2,228,077","$ 1 1,984,784"
94720,0.0%,"$ 5 ,000",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
95364,26.4%,"$ 9 6,688,068",14.6%,"$ 7 6,468,361",40.5%,"$ 6 6,700,737",14.7%,"$ 4 7,482,818","$ 4 1,411,076"
96120,17.0%,"$ 1 56,887,739",36.7%,"$ 1 34,049,585",31.1%,"$ 9 8,082,244",27.7%,"$ 7 4,809,011","$ 5 8,586,513"
95601,0.0%,"$ 3 7,050,728",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
95629,27.5%,"$ 1 71,262,218",22.9%,"$ 1 34,312,949",13.8%,"$ 1 09,278,296",54.2%,"$ 9 5,994,806","$ 6 2,249,600"
95640,119.1%,"$ 1 62,158,071",79.3%,"$ 7 4,010,495",78.0%,"$ 4 1,282,018",82.5%,"$ 2 3,192,984","$ 1 2,710,973"
95642,35.0%,"$ 4 58,905,854",53.9%,"$ 3 39,948,909",58.1%,"$ 2 20,942,622",58.0%,"$ 1 39,735,274","$ 8 8,460,199"
95665,14.8%,"$ 7 93,606,480",15.8%,"$ 6 91,143,847",12.3%,"$ 5 96,860,204",22.7%,"$ 5 31,547,529","$ 4 33,156,496"
95666,10.9%,"$ 1 ,517,228,410",20.3%,"$ 1 ,368,073,956",13.9%,"$ 1 ,137,511,407",27.3%,"$ 9 98,362,788","$ 7 84,210,968"
95669,44.2%,"$ 2 15,038,564",59.7%,"$ 1 49,086,211",22.9%,"$ 9 3,327,722",78.5%,"$ 7 5,934,360","$ 4 2,533,207"
95685,22.3%,"$ 4 53,749,309",31.2%,"$ 3 70,954,016",31.7%,"$ 2 82,680,149",36.9%,"$ 2 14,645,754","$ 1 56,768,596"
95689,23.2%,"$ 3 05,193,638",23.2%,"$ 2 47,723,206",7.6%,"$ 2 01,050,036",22.0%,"$ 1 86,886,902","$ 1 53,234,388"
95699,0.0%,"$ 1 5,962,803",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
95914,19.1%,"$ 5 0,462,485",50.5%,"$ 4 2,364,920",96.7%,"$ 2 8,147,619",101.5%,"$ 1 4,313,514","$ 7 ,102,696"
95916,18.9%,"$ 7 3,852,317",45.8%,"$ 6 2,132,505",-4.1%,"$ 4 2,603,914",-47.4%,"$ 4 4,445,717","$ 8 4,462,336"
95917,71.0%,"$ 2 ,047,285",239.1%,"$ 1 ,197,475",3.8%,"$ 3 53,185",0.0%,"$ 3 40,275",$ -
95926,377.4%,"$ 1 2,994,294",286.7%,"$ 2 ,721,725",-39.7%,"$ 7 03,747",275.9%,"$ 1 ,166,706","$ 3 10,383"
95928,56.2%,"$ 1 97,322,992",125.7%,"$ 1 26,351,272",12.2%,"$ 5 5,980,157",17.3%,"$ 4 9,893,448","$ 4 2,551,472"
95930,0.0%,"$ 6 0,490,722",0.0%,$ -,0.0%,$ -,0.0%,$ -,$ -
95938,-20.9%,"$ 2 ,284,995",91.5%,"$ 2 ,889,891",-11.3%,"$ 1 ,508,733",22.2%,"$ 1 ,701,235","$ 1 ,392,170"
95941,6.7%,"$ 4 1,682,927",17.4%,"$ 3 9,076,877",12.9%,"$ 3 3,294,256",21.3%,"$ 2 9,497,274","$ 2 4,308,709"
95942,18.5%,"$ 3 53,427,367",24.7%,"$ 2 98,352,795",14.9%,"$ 2 39,267,526",28.3%,"$ 2 08,216,038","$ 1 62,317,150"
95948,74.8%,"$ 3 ,758,297",177.6%,"$ 2 ,149,903",10.7%,"$ 7 74,432",131.4%,"$ 6 99,680","$ 3 02,400"
95954,21.7%,"$ 1 ,250,027,259",48.8%,"$ 1 ,027,361,740",19.2%,"$ 6 90,639,925",34.7%,"$ 5 79,269,355","$ 4 30,036,149"
