ZIP Code,YoY Growth 2024,Total Exposure 2024,YoY Growth 2023,Total Exposure 2023,YoY Growth 2022,Total Exposure 2022,YoY Growth 2021,Total Exposure 2021,Total Exposure 2020
90211,70.8%,"$ 7 0,027,214",41.1%,"$ 4 0,990,353",7.6%,"$ 2 9,049,584",0.1%,"$ 2 7,005,880","$ 2 6,977,118"
90212,89.5%,"$ 6 0,783,808",12.3%,"$ 3 2,072,174",25.5%,"$ 2 8,549,525",43.5%,"$ 2 2,747,458","$ 1 5,846,924"
90220,19.9%,"$ 2 85,831,902",11.8%,"$ 2 38,476,423",3.7%,"$ 2 13,310,049",3.1%,"$ 2 05,627,718","$ 1 99,366,186"
90221,21.8%,"$ 3 59,595,777",8.1%,"$ 2 95,337,152",0.1%,"$ 2 73,156,086",1.4%,"$ 2 73,017,656","$ 2 69,181,667"
90222,12.2%,"$ 2 16,403,581",5.6%,"$ 1 92,942,309",3.1%,"$ 1 82,708,008",0.6%,"$ 1 77,199,980","$ 1 76,177,517"
90230,38.4%,"$ 4 0,007,707",15.7%,"$ 2 8,911,025",15.6%,"$ 2 4,989,090",-1.4%,"$ 2 1,609,359","$ 2 1,923,481"
90232,18.3%,"$ 2 2,961,274",27.0%,"$ 1 9,413,331",-8.9%,"$ 1 5,289,463",1.9%,"$ 1 6,779,339","$ 1 6,466,518"
90240,66.4%,"$ 1 15,285,885",12.8%,"$ 6 9,291,726",0.7%,"$ 6 1,406,225",1.7%,"$ 6 0,978,426","$ 5 9,939,374"
90241,31.5%,"$ 9 7,469,110",14.8%,"$ 7 4,096,478",2.4%,"$ 6 4,556,262",-2.1%,"$ 6 3,039,880","$ 6 4,386,699"
90242,28.8%,"$ 9 7,653,073",8.8%,"$ 7 5,809,973",-1.2%,"$ 6 9,708,416",3.3%,"$ 7 0,554,184","$ 6 8,284,409"
90245,233.3%,"$ 1 2,549,547",84.7%,"$ 3 ,764,872",-41.0%,"$ 2 ,038,250",7.1%,"$ 3 ,456,513","$ 3 ,228,740"
90247,22.4%,"$ 9 9,471,796",12.7%,"$ 8 1,261,069",-0.9%,"$ 7 2,133,990",5.8%,"$ 7 2,814,494","$ 6 8,824,066"
90248,38.7%,"$ 2 6,760,043",6.6%,"$ 1 9,288,707",25.3%,"$ 1 8,091,131",-14.6%,"$ 1 4,432,913","$ 1 6,901,279"
90249,42.5%,"$ 4 8,414,137",9.6%,"$ 3 3,970,904",6.0%,"$ 3 0,983,794",-10.9%,"$ 2 9,221,904","$ 3 2,783,371"
90250,39.7%,"$ 1 72,067,320",10.9%,"$ 1 23,184,390",-1.3%,"$ 1 11,099,896",-4.4%,"$ 1 12,513,481","$ 1 17,690,990"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
90254,416.4%,"$ 3 9,643,392",66.1%,"$ 7 ,676,595",-17.1%,"$ 4 ,622,877",13.2%,"$ 5 ,575,750","$ 4 ,926,453"
90255,18.7%,"$ 4 63,175,516",13.3%,"$ 3 90,122,906",3.7%,"$ 3 44,265,759",4.6%,"$ 3 32,120,163","$ 3 17,662,700"
90260,29.9%,"$ 6 2,552,728",4.5%,"$ 4 8,148,998",5.9%,"$ 4 6,079,594",-2.1%,"$ 4 3,520,545","$ 4 4,434,948"
90262,18.1%,"$ 3 65,120,767",9.9%,"$ 3 09,187,997",6.8%,"$ 2 81,460,380",5.4%,"$ 2 63,442,282","$ 2 49,957,549"
90265,23.9%,"$ 4 ,554,811,303",17.6%,"$ 3 ,676,737,636",30.6%,"$ 3 ,127,641,732",67.9%,"$ 2 ,395,242,275","$ 1 ,426,565,580"
90266,104.0%,"$ 8 0,130,435",37.6%,"$ 3 9,275,157",53.0%,"$ 2 8,544,099",0.7%,"$ 1 8,650,679","$ 1 8,521,171"
90270,13.8%,"$ 1 38,269,011",6.4%,"$ 1 21,452,452",7.5%,"$ 1 14,175,618",6.8%,"$ 1 06,246,644","$ 9 9,514,527"
90272,107.1%,"$ 2 ,951,355,275",29.3%,"$ 1 ,425,042,725",38.4%,"$ 1 ,101,997,923",82.5%,"$ 7 96,005,892","$ 4 36,221,386"
90274,84.2%,"$ 2 80,040,102",96.1%,"$ 1 52,048,700",29.8%,"$ 7 7,538,324",24.2%,"$ 5 9,741,194","$ 4 8,082,263"
90275,148.1%,"$ 2 54,754,042",39.7%,"$ 1 02,698,842",10.9%,"$ 7 3,495,568",17.6%,"$ 6 6,266,828","$ 5 6,367,853"
90277,104.3%,"$ 4 0,518,507",34.0%,"$ 1 9,830,506",6.0%,"$ 1 4,795,220",10.8%,"$ 1 3,959,735","$ 1 2,604,639"
90278,78.3%,"$ 4 4,694,651",68.3%,"$ 2 5,073,583",50.1%,"$ 1 4,895,522",-14.3%,"$ 9 ,926,142","$ 1 1,578,419"
90280,35.2%,"$ 5 33,406,909",6.9%,"$ 3 94,629,499",6.2%,"$ 3 69,124,223",6.9%,"$ 3 47,687,273","$ 3 25,356,241"
90290,6.6%,"$ 2 ,539,256,524",12.6%,"$ 2 ,382,759,208",13.7%,"$ 2 ,116,336,922",24.4%,"$ 1 ,860,516,524","$ 1 ,495,395,464"
90291,58.6%,"$ 9 9,761,211",20.8%,"$ 6 2,910,272",-7.4%,"$ 5 2,070,749",5.6%,"$ 5 6,205,983","$ 5 3,211,913"
90292,306.8%,"$ 3 6,750,695",-8.1%,"$ 9 ,034,393",31.2%,"$ 9 ,830,999",-15.9%,"$ 7 ,493,921","$ 8 ,910,599"
90293,354.9%,"$ 3 7,955,476",101.7%,"$ 8 ,342,895",-18.9%,"$ 4 ,136,867",9.4%,"$ 5 ,101,747","$ 4 ,665,057"
90301,21.6%,"$ 1 22,494,131",12.7%,"$ 1 00,698,383",-2.3%,"$ 8 9,385,816",3.3%,"$ 9 1,470,416","$ 8 8,511,047"
90302,12.0%,"$ 9 5,437,051",11.1%,"$ 8 5,240,942",1.2%,"$ 7 6,743,342",0.4%,"$ 7 5,820,187","$ 7 5,543,736"
90303,45.8%,"$ 1 19,809,056",10.6%,"$ 8 2,161,726",0.5%,"$ 7 4,266,532",3.5%,"$ 7 3,914,222","$ 7 1,402,167"
90304,13.0%,"$ 1 14,411,657",10.1%,"$ 1 01,241,332",1.9%,"$ 9 1,976,917",2.3%,"$ 9 0,269,952","$ 8 8,205,111"
90305,37.1%,"$ 7 6,595,608",1.6%,"$ 5 5,853,108",4.7%,"$ 5 4,970,411",-3.3%,"$ 5 2,489,847","$ 5 4,292,782"
90401,0.6%,"$ 4 ,484,828",0.0%,"$ 4 ,459,470",-100.0%,$ -,-46.7%,"$ 1 ,037,667","$ 1 ,945,271"
90402,168.3%,"$ 1 98,190,964",91.1%,"$ 7 3,881,609",15.2%,"$ 3 8,660,984",37.0%,"$ 3 3,565,770","$ 2 4,496,352"
90403,54.2%,"$ 3 4,012,106",0.3%,"$ 2 2,057,778",-4.2%,"$ 2 1,992,745",91.2%,"$ 2 2,956,800","$ 1 2,005,503"
90404,73.7%,"$ 2 3,385,012",6.4%,"$ 1 3,462,167",-12.7%,"$ 1 2,657,844",30.3%,"$ 1 4,504,600","$ 1 1,128,331"
90405,18.8%,"$ 3 9,937,401",32.0%,"$ 3 3,606,833",6.9%,"$ 2 5,465,805",2.3%,"$ 2 3,821,150","$ 2 3,294,546"
90501,44.6%,"$ 5 4,861,220",9.8%,"$ 3 7,947,637",-2.4%,"$ 3 4,557,549",10.0%,"$ 3 5,408,579","$ 3 2,187,045"
90502,59.3%,"$ 2 2,737,398",5.5%,"$ 1 4,273,106",15.8%,"$ 1 3,534,494",0.3%,"$ 1 1,685,734","$ 1 1,655,929"
90503,63.3%,"$ 2 3,828,786",25.3%,"$ 1 4,588,325",11.0%,"$ 1 1,642,126",-7.2%,"$ 1 0,489,446","$ 1 1,304,900"
90504,91.6%,"$ 2 5,170,318",58.0%,"$ 1 3,137,459",-17.6%,"$ 8 ,313,069",-3.7%,"$ 1 0,084,147","$ 1 0,475,832"
90505,103.4%,"$ 3 1,331,339",-1.0%,"$ 1 5,402,139",31.8%,"$ 1 5,556,414",12.5%,"$ 1 1,802,620","$ 1 0,487,247"
90601,52.1%,"$ 3 08,760,689",26.6%,"$ 2 02,938,372",19.1%,"$ 1 60,340,744",6.9%,"$ 1 34,633,741","$ 1 25,945,471"
90602,39.3%,"$ 1 28,868,846",8.2%,"$ 9 2,526,647",11.7%,"$ 8 5,496,759",14.0%,"$ 7 6,552,823","$ 6 7,180,924"
90603,84.5%,"$ 6 4,761,483",36.3%,"$ 3 5,097,152",0.5%,"$ 2 5,741,079",45.1%,"$ 2 5,603,086","$ 1 7,649,528"
90604,9.4%,"$ 5 7,461,665",20.1%,"$ 5 2,533,835",2.9%,"$ 4 3,727,731",14.5%,"$ 4 2,488,644","$ 3 7,092,482"
90605,15.7%,"$ 1 65,602,428",12.6%,"$ 1 43,130,503",5.1%,"$ 1 27,109,017",8.8%,"$ 1 20,992,027","$ 1 11,250,343"
90606,9.3%,"$ 1 04,158,455",10.9%,"$ 9 5,319,688",5.2%,"$ 8 5,938,869",0.8%,"$ 8 1,676,855","$ 8 0,991,936"
90638,68.1%,"$ 7 7,923,065",38.1%,"$ 4 6,359,729",8.2%,"$ 3 3,566,972",-4.5%,"$ 3 1,015,108","$ 3 2,473,908"
90640,29.7%,"$ 1 92,431,357",14.3%,"$ 1 48,335,983",6.4%,"$ 1 29,798,969",-1.2%,"$ 1 21,947,421","$ 1 23,401,253"
90650,34.9%,"$ 2 31,603,040",10.2%,"$ 1 71,711,425",7.5%,"$ 1 55,843,186",-0.7%,"$ 1 44,962,384","$ 1 46,026,057"
90660,12.8%,"$ 2 06,929,397",13.7%,"$ 1 83,488,097",-0.6%,"$ 1 61,342,495",5.5%,"$ 1 62,321,070","$ 1 53,906,092"
90670,18.5%,"$ 2 6,698,100",29.3%,"$ 2 2,530,042",11.5%,"$ 1 7,422,912",1.8%,"$ 1 5,624,942","$ 1 5,354,385"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
90701,46.5%,"$ 3 5,742,854",-8.5%,"$ 2 4,392,838",16.6%,"$ 2 6,646,447",6.1%,"$ 2 2,848,645","$ 2 1,536,945"
90703,135.5%,"$ 8 3,023,632",44.7%,"$ 3 5,251,544",-13.8%,"$ 2 4,368,579",-4.6%,"$ 2 8,274,686","$ 2 9,629,863"
90704,3.9%,"$ 2 67,828,009",42.7%,"$ 2 57,653,003",77.1%,"$ 1 80,598,156",70.0%,"$ 1 01,973,809","$ 5 9,968,798"
90706,39.5%,"$ 1 30,193,397",14.4%,"$ 9 3,315,913",-0.2%,"$ 8 1,535,935",5.7%,"$ 8 1,727,313","$ 7 7,288,832"
90710,91.8%,"$ 5 5,355,182",15.3%,"$ 2 8,863,667",-2.8%,"$ 2 5,035,616",11.0%,"$ 2 5,760,560","$ 2 3,209,937"
90712,53.0%,"$ 3 8,098,821",58.3%,"$ 2 4,902,483",-6.8%,"$ 1 5,730,670",-11.8%,"$ 1 6,882,763","$ 1 9,133,722"
90713,21.9%,"$ 1 7,345,492",5.1%,"$ 1 4,230,071",1.5%,"$ 1 3,535,495",14.8%,"$ 1 3,337,293","$ 1 1,622,731"
90715,17.9%,"$ 3 9,208,423",30.3%,"$ 3 3,253,872",-7.4%,"$ 2 5,518,454",4.9%,"$ 2 7,545,795","$ 2 6,271,315"
90716,7.1%,"$ 3 3,804,432",11.0%,"$ 3 1,551,436",-1.3%,"$ 2 8,426,807",1.3%,"$ 2 8,811,148","$ 2 8,436,435"
90717,46.2%,"$ 3 0,691,519",7.9%,"$ 2 0,986,842",11.1%,"$ 1 9,445,709",1.9%,"$ 1 7,495,491","$ 1 7,163,394"
90723,33.7%,"$ 1 38,429,183",12.2%,"$ 1 03,533,982",3.4%,"$ 9 2,249,155",3.7%,"$ 8 9,250,015","$ 8 6,103,625"
90731,36.9%,"$ 1 38,309,989",27.1%,"$ 1 01,061,754",5.7%,"$ 7 9,511,723",-4.8%,"$ 7 5,257,966","$ 7 9,012,987"
90732,139.7%,"$ 3 3,314,473",14.3%,"$ 1 3,898,535",1.3%,"$ 1 2,164,976",-16.1%,"$ 1 2,010,337","$ 1 4,313,759"
90744,22.5%,"$ 1 52,319,190",10.3%,"$ 1 24,388,828",1.6%,"$ 1 12,781,174",0.3%,"$ 1 10,956,761","$ 1 10,670,916"
90745,45.1%,"$ 1 02,452,213",18.1%,"$ 7 0,598,963",0.0%,"$ 5 9,779,359",-3.9%,"$ 5 9,787,063","$ 6 2,235,306"
90746,49.6%,"$ 1 40,192,824",13.4%,"$ 9 3,702,546",6.8%,"$ 8 2,604,283",10.8%,"$ 7 7,362,225","$ 6 9,804,629"
90755,58.1%,"$ 2 2,225,245",35.4%,"$ 1 4,057,971",14.1%,"$ 1 0,386,044",-17.6%,"$ 9 ,099,555","$ 1 1,038,539"
90802,55.7%,"$ 3 8,068,862",25.9%,"$ 2 4,445,382",1.7%,"$ 1 9,413,297",0.3%,"$ 1 9,082,811","$ 1 9,021,530"
90803,179.7%,"$ 5 9,195,203",26.6%,"$ 2 1,161,761",40.8%,"$ 1 6,719,967",8.3%,"$ 1 1,871,679","$ 1 0,962,262"
90804,28.1%,"$ 6 1,087,480",19.2%,"$ 4 7,697,082",16.6%,"$ 4 0,025,921",-1.4%,"$ 3 4,342,016","$ 3 4,837,582"
90805,21.1%,"$ 2 23,868,282",12.4%,"$ 1 84,801,039",4.2%,"$ 1 64,408,883",-2.4%,"$ 1 57,731,336","$ 1 61,574,043"
90806,15.5%,"$ 1 09,173,592",13.4%,"$ 9 4,523,180",11.1%,"$ 8 3,367,835",5.0%,"$ 7 5,010,671","$ 7 1,469,336"
90807,62.2%,"$ 5 4,170,483",12.0%,"$ 3 3,389,976",5.3%,"$ 2 9,809,551",3.9%,"$ 2 8,311,787","$ 2 7,258,673"
90808,119.4%,"$ 2 4,989,550",31.7%,"$ 1 1,391,707",9.2%,"$ 8 ,650,012",32.7%,"$ 7 ,918,716","$ 5 ,969,547"
90810,30.5%,"$ 9 3,104,837",6.4%,"$ 7 1,330,209",2.6%,"$ 6 7,042,900",0.1%,"$ 6 5,325,283","$ 6 5,250,098"
90813,25.5%,"$ 1 21,080,725",9.0%,"$ 9 6,453,936",7.2%,"$ 8 8,521,775",3.0%,"$ 8 2,609,328","$ 8 0,197,338"
90814,104.8%,"$ 3 4,541,569",24.0%,"$ 1 6,868,365",-7.8%,"$ 1 3,601,819",-25.1%,"$ 1 4,747,662","$ 1 9,685,174"
90815,85.5%,"$ 1 6,937,733",-28.6%,"$ 9 ,129,695",4.9%,"$ 1 2,784,876",20.9%,"$ 1 2,184,518","$ 1 0,078,114"
91001,47.6%,"$ 9 46,023,033",27.7%,"$ 6 40,945,180",12.2%,"$ 5 02,017,901",7.7%,"$ 4 47,491,297","$ 4 15,482,544"
91006,110.9%,"$ 4 46,949,724",46.2%,"$ 2 11,901,094",3.1%,"$ 1 44,971,802",10.2%,"$ 1 40,561,841","$ 1 27,507,980"
91007,109.1%,"$ 2 10,644,020",47.3%,"$ 1 00,718,295",14.4%,"$ 6 8,391,805",13.9%,"$ 5 9,770,756","$ 5 2,460,351"
91008,35.6%,"$ 2 20,293,754",19.6%,"$ 1 62,435,436",6.3%,"$ 1 35,870,952",25.5%,"$ 1 27,764,082","$ 1 01,807,634"
91010,87.7%,"$ 1 71,318,532",20.6%,"$ 9 1,266,745",5.8%,"$ 7 5,688,699",-5.3%,"$ 7 1,517,341","$ 7 5,492,375"
91011,96.0%,"$ 1 ,402,130,258",34.9%,"$ 7 15,251,817",21.4%,"$ 5 30,375,224",15.8%,"$ 4 36,840,061","$ 3 77,136,204"
91016,65.9%,"$ 4 56,482,530",32.3%,"$ 2 75,201,540",4.8%,"$ 2 08,033,793",3.0%,"$ 1 98,464,017","$ 1 92,604,326"
91020,105.8%,"$ 4 2,630,665",54.6%,"$ 2 0,717,518",27.4%,"$ 1 3,401,885",10.1%,"$ 1 0,519,523","$ 9 ,558,189"
91024,48.5%,"$ 3 88,043,696",18.0%,"$ 2 61,308,376",4.9%,"$ 2 21,494,518",0.4%,"$ 2 11,127,881","$ 2 10,300,829"
91030,70.1%,"$ 2 08,391,117",38.7%,"$ 1 22,495,340",8.5%,"$ 8 8,303,998",2.3%,"$ 8 1,365,708","$ 7 9,569,357"
91040,57.2%,"$ 6 19,393,333",32.7%,"$ 3 94,140,940",9.8%,"$ 2 96,956,951",14.1%,"$ 2 70,434,893","$ 2 36,930,453"
91042,49.0%,"$ 7 99,295,301",26.6%,"$ 5 36,519,394",6.7%,"$ 4 23,667,687",5.6%,"$ 3 97,011,700","$ 3 75,783,486"
91101,9.7%,"$ 2 9,872,276",30.4%,"$ 2 7,240,636",29.8%,"$ 2 0,891,401",-15.2%,"$ 1 6,098,958","$ 1 8,983,581"
91103,26.5%,"$ 3 49,211,840",27.0%,"$ 2 76,113,539",19.4%,"$ 2 17,411,272",13.4%,"$ 1 82,070,089","$ 1 60,484,897"
91104,59.9%,"$ 1 81,114,765",12.1%,"$ 1 13,260,553",10.3%,"$ 1 01,023,435",-2.2%,"$ 9 1,630,678","$ 9 3,699,803"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
91105,27.2%,"$ 4 29,717,350",34.0%,"$ 3 37,914,145",44.4%,"$ 2 52,107,854",38.0%,"$ 1 74,614,806","$ 1 26,534,763"
91106,69.7%,"$ 6 1,146,152",18.9%,"$ 3 6,024,691",25.5%,"$ 3 0,309,619",-3.2%,"$ 2 4,151,992","$ 2 4,959,819"
91107,101.5%,"$ 5 55,541,411",24.2%,"$ 2 75,765,407",5.0%,"$ 2 22,115,390",17.5%,"$ 2 11,458,784","$ 1 80,006,395"
91108,103.6%,"$ 1 56,670,906",4.2%,"$ 7 6,953,917",30.9%,"$ 7 3,817,426",1.1%,"$ 5 6,385,187","$ 5 5,784,795"
91201,105.7%,"$ 1 62,527,806",32.5%,"$ 7 9,005,145",5.9%,"$ 5 9,619,850",-0.4%,"$ 5 6,280,675","$ 5 6,532,327"
91202,87.7%,"$ 3 20,915,058",30.1%,"$ 1 70,947,163",12.4%,"$ 1 31,444,868",5.7%,"$ 1 16,955,839","$ 1 10,645,425"
91203,60.6%,"$ 2 7,774,455",48.5%,"$ 1 7,293,942",-9.4%,"$ 1 1,647,504",0.2%,"$ 1 2,852,531","$ 1 2,828,479"
91204,29.2%,"$ 2 5,431,583",23.3%,"$ 1 9,685,585",-9.3%,"$ 1 5,968,124",4.9%,"$ 1 7,602,300","$ 1 6,784,687"
91205,44.1%,"$ 6 4,317,435",20.7%,"$ 4 4,621,133",5.8%,"$ 3 6,966,625",-1.3%,"$ 3 4,936,792","$ 3 5,399,831"
91206,21.4%,"$ 8 01,695,023",21.9%,"$ 6 60,142,140",12.5%,"$ 5 41,720,476",10.6%,"$ 4 81,449,050","$ 4 35,321,489"
91207,106.7%,"$ 4 29,276,309",25.0%,"$ 2 07,670,535",23.0%,"$ 1 66,138,226",14.4%,"$ 1 35,073,812","$ 1 18,117,640"
91208,70.6%,"$ 8 97,206,746",32.3%,"$ 5 25,883,350",11.3%,"$ 3 97,352,090",-0.2%,"$ 3 57,077,608","$ 3 57,796,767"
91214,118.2%,"$ 7 01,156,359",53.5%,"$ 3 21,408,185",21.0%,"$ 2 09,380,524",-3.2%,"$ 1 72,983,905","$ 1 78,781,039"
91301,96.8%,"$ 1 ,790,291,382",37.7%,"$ 9 09,794,392",24.6%,"$ 6 60,602,347",50.9%,"$ 5 30,034,288","$ 3 51,256,312"
91302,99.5%,"$ 3 ,695,830,461",31.3%,"$ 1 ,852,527,968",25.4%,"$ 1 ,410,755,429",49.0%,"$ 1 ,125,313,751","$ 7 55,125,746"
91303,29.1%,"$ 4 6,817,007",12.2%,"$ 3 6,251,342",6.6%,"$ 3 2,304,973",16.6%,"$ 3 0,297,801","$ 2 5,986,767"
91304,109.5%,"$ 6 54,581,410",31.2%,"$ 3 12,387,917",14.6%,"$ 2 38,149,184",24.0%,"$ 2 07,771,401","$ 1 67,572,234"
91306,52.2%,"$ 1 41,637,691",19.1%,"$ 9 3,074,479",11.3%,"$ 7 8,131,199",0.7%,"$ 7 0,204,995","$ 6 9,705,791"
91307,64.1%,"$ 1 ,001,040,596",32.4%,"$ 6 10,040,512",75.1%,"$ 4 60,884,435",26.8%,"$ 2 63,268,467","$ 2 07,705,718"
91311,119.6%,"$ 7 87,170,922",31.4%,"$ 3 58,426,401",21.7%,"$ 2 72,681,490",35.0%,"$ 2 24,132,539","$ 1 65,972,218"
91316,193.6%,"$ 9 02,891,424",39.5%,"$ 3 07,487,417",25.4%,"$ 2 20,444,967",82.7%,"$ 1 75,779,612","$ 9 6,186,838"
91321,138.2%,"$ 8 25,304,591",67.1%,"$ 3 46,508,000",30.5%,"$ 2 07,307,518",38.3%,"$ 1 58,880,348","$ 1 14,877,543"
91324,63.6%,"$ 8 7,037,092",41.8%,"$ 5 3,197,187",0.6%,"$ 3 7,517,045",-0.8%,"$ 3 7,291,333","$ 3 7,589,204"
91325,63.9%,"$ 1 55,262,055",21.4%,"$ 9 4,750,680",21.9%,"$ 7 8,024,880",23.5%,"$ 6 3,991,556","$ 5 1,797,227"
91326,162.5%,"$ 8 96,811,125",106.0%,"$ 3 41,584,597",13.0%,"$ 1 65,840,427",32.6%,"$ 1 46,763,714","$ 1 10,721,602"
91330,0.0%,$ -,0.0%,$ -,0.0%,$ -,-100.0%,$ -,"$ 5 70,000"
91331,27.3%,"$ 5 04,249,063",16.6%,"$ 3 96,147,445",8.5%,"$ 3 39,774,023",2.2%,"$ 3 13,088,058","$ 3 06,440,586"
91335,44.3%,"$ 2 68,312,262",18.8%,"$ 1 85,993,125",8.9%,"$ 1 56,510,085",2.3%,"$ 1 43,678,899","$ 1 40,433,017"
91340,46.0%,"$ 2 00,423,094",18.8%,"$ 1 37,273,563",6.0%,"$ 1 15,562,349",1.0%,"$ 1 09,023,425","$ 1 07,976,881"
91342,60.9%,"$ 1 ,118,035,040",45.3%,"$ 6 94,706,779",13.8%,"$ 4 78,056,778",17.9%,"$ 4 20,209,656","$ 3 56,348,307"
91343,40.0%,"$ 1 90,196,650",29.7%,"$ 1 35,895,522",7.7%,"$ 1 04,765,916",6.4%,"$ 9 7,278,735","$ 9 1,431,246"
91344,99.6%,"$ 5 88,168,347",26.9%,"$ 2 94,663,552",18.3%,"$ 2 32,212,601",4.7%,"$ 1 96,361,985","$ 1 87,459,674"
91345,51.2%,"$ 8 6,791,420",28.1%,"$ 5 7,402,644",4.8%,"$ 4 4,807,334",-0.2%,"$ 4 2,742,609","$ 4 2,835,744"
91350,125.6%,"$ 6 19,763,968",51.2%,"$ 2 74,725,050",17.6%,"$ 1 81,642,379",44.0%,"$ 1 54,398,038","$ 1 07,230,069"
91351,165.3%,"$ 3 81,715,218",70.7%,"$ 1 43,895,419",9.0%,"$ 8 4,275,820",42.4%,"$ 7 7,324,332","$ 5 4,293,186"
91352,41.1%,"$ 4 54,962,774",20.7%,"$ 3 22,520,304",8.4%,"$ 2 67,285,971",3.6%,"$ 2 46,620,578","$ 2 38,000,620"
91354,326.3%,"$ 4 69,297,195",112.1%,"$ 1 10,096,517",39.6%,"$ 5 1,918,900",27.8%,"$ 3 7,180,003","$ 2 9,095,204"
91355,562.7%,"$ 1 05,433,551",103.1%,"$ 1 5,909,153",27.0%,"$ 7 ,831,958",-15.8%,"$ 6 ,167,381","$ 7 ,328,049"
91356,195.8%,"$ 1 ,489,329,448",34.8%,"$ 5 03,514,541",19.7%,"$ 3 73,466,485",49.7%,"$ 3 11,928,185","$ 2 08,324,173"
91364,146.9%,"$ 1 ,284,389,381",44.3%,"$ 5 20,259,457",12.2%,"$ 3 60,655,776",40.3%,"$ 3 21,324,321","$ 2 29,084,357"
91367,177.0%,"$ 3 93,605,787",31.6%,"$ 1 42,089,703",17.4%,"$ 1 07,969,710",11.1%,"$ 9 1,954,668","$ 8 2,763,801"
91381,199.6%,"$ 7 78,510,383",62.2%,"$ 2 59,872,702",62.0%,"$ 1 60,196,618",31.4%,"$ 9 8,865,294","$ 7 5,267,790"
91384,58.5%,"$ 1 ,535,303,860",30.5%,"$ 9 68,715,961",76.7%,"$ 7 42,387,230",43.9%,"$ 4 20,184,544","$ 2 91,923,822"
Total,59.4%,"$ 431,066,383,171",33.8%,"$ 2 70,510,184,565",29.8%,"$ 2 02,103,248,060",35.0%,"$ 1 55,719,573,171","$ 1 15,311,779,134"
91387,111.6%,"$ 1 ,635,082,714",57.8%,"$ 7 72,787,203",25.1%,"$ 4 89,821,751",58.2%,"$ 3 91,643,972","$ 2 47,545,988"
91390,74.1%,"$ 1 ,266,025,526",23.6%,"$ 7 27,329,016",25.6%,"$ 5 88,408,841",37.1%,"$ 4 68,397,357","$ 3 41,692,276"
91401,83.3%,"$ 1 21,891,354",25.5%,"$ 6 6,509,222",-3.1%,"$ 5 2,996,074",2.1%,"$ 5 4,683,786","$ 5 3,539,573"
91402,52.1%,"$ 1 58,688,927",5.5%,"$ 1 04,347,896",8.1%,"$ 9 8,893,848",2.4%,"$ 9 1,472,591","$ 8 9,324,603"
91403,45.8%,"$ 9 48,514,064",32.6%,"$ 6 50,471,765",33.5%,"$ 4 90,434,173",41.0%,"$ 3 67,297,713","$ 2 60,508,683"
91405,33.8%,"$ 1 11,203,859",19.1%,"$ 8 3,100,779",11.8%,"$ 6 9,745,554",-4.7%,"$ 6 2,402,097","$ 6 5,487,359"
91406,46.4%,"$ 1 28,640,515",5.2%,"$ 8 7,855,085",7.3%,"$ 8 3,547,803",5.4%,"$ 7 7,889,832","$ 7 3,900,825"
91411,81.2%,"$ 4 5,269,240",14.4%,"$ 2 4,983,458",-7.8%,"$ 2 1,831,146",15.9%,"$ 2 3,676,339","$ 2 0,432,767"
91423,22.6%,"$ 1 ,068,479,886",23.4%,"$ 8 71,450,886",36.6%,"$ 7 06,251,623",52.2%,"$ 5 17,027,052","$ 3 39,674,967"
91436,151.9%,"$ 1 ,304,845,613",50.5%,"$ 5 17,926,630",31.7%,"$ 3 44,093,321",104.4%,"$ 2 61,258,655","$ 1 27,831,038"
91501,102.9%,"$ 2 79,659,319",4.5%,"$ 1 37,827,328",9.4%,"$ 1 31,897,892",10.6%,"$ 1 20,594,314","$ 1 09,005,701"
91502,42.2%,"$ 5 ,798,760",16.6%,"$ 4 ,077,986",52.0%,"$ 3 ,496,853",-22.1%,"$ 2 ,300,637","$ 2 ,951,588"
91504,111.4%,"$ 3 26,470,091",39.4%,"$ 1 54,395,911",12.0%,"$ 1 10,725,590",11.9%,"$ 9 8,885,689","$ 8 8,395,917"
91505,76.9%,"$ 6 3,548,309",9.1%,"$ 3 5,929,409",1.1%,"$ 3 2,922,493",10.2%,"$ 3 2,575,706","$ 2 9,552,616"
91506,53.9%,"$ 4 7,064,840",41.6%,"$ 3 0,583,934",21.2%,"$ 2 1,593,553",1.9%,"$ 1 7,819,224","$ 1 7,478,788"
91601,17.7%,"$ 7 1,641,996",19.7%,"$ 6 0,868,310",-1.2%,"$ 5 0,844,260",-0.2%,"$ 5 1,441,999","$ 5 1,544,005"
91602,75.7%,"$ 5 2,262,993",104.6%,"$ 2 9,753,028",41.4%,"$ 1 4,545,091",-6.7%,"$ 1 0,283,271","$ 1 1,020,024"
91604,36.9%,"$ 1 ,325,660,754",19.7%,"$ 9 68,359,072",30.4%,"$ 8 09,030,351",61.1%,"$ 6 20,585,372","$ 3 85,190,778"
